Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1709390430,4,GET,/slow,2.400000,0.000000,1200,1300,1500,1500,1700,1800,1900,1900,1900,1900,1900,60,0,1100.0,1203.0272605167509,398.96885400003157,1998.4619990000283,0.0
1709390430,4,,Aggregated,18.400000,0.000000,9,34,36,46,1100,1400,1600,1800,1900,1900,1900,398,0,10,198.43585420101675,4.151335000187828,1998.4619990000283,1483.2613065326634
1709390431,4,POST,/postData,5.200000,0.000000,36,36,39,42,62,71,73,78,78,78,78,131,0,36,41.85269983969636,30.298932999812678,79.55523100008577,124.10687022900764
1709390431,4,GET,/randStr,10.600000,0.000000,7,8,9,9,10,12,14,15,19,19,19,223,0,7,8.083909941700515,4.151335000187828,126.11271000014312,2673.385650224215
1709390431,4,GET,/slow,2.500000,0.000000,1100,1400,1500,1500,1700,1800,1900,1900,1900,1900,1900,63,0,1100.0,1196.311866285791,398.96885400003157,1998.4619990000283,0.0
1709390431,4,,Aggregated,18.300000,0.000000,10,35,38,60,1100,1400,1600,1800,1900,1900,1900,417,0,12,198.20878458514224,4.151335000187828,1998.4619990000283,1468.6402877697842
1709390432,4,POST,/postData,4.700000,0.000000,36,36,39,44,62,71,73,78,78,78,78,133,0,36,41.78215687218318,30.298932999812678,79.55523100008577,124.11278195488721
1709390432,4,GET,/randStr,10.500000,0.000000,7,8,9,9,10,12,14,19,19,19,19,228,0,7,8.089459039470775,4.151335000187828,126.11271000014312,2687.6929824561403
1709390432,4,GET,/slow,2.700000,0.000000,1100,1400,1500,1500,1800,1900,1900,1900,1900,1900,1900,65,0,1100.0,1205.5022242769992,398.96885400003157,1998.4619990000283,0.0
1709390432,4,,Aggregated,17.900000,0.000000,10,35,38,54,1100,1400,1700,1900,1900,1900,1900,426,0,11,201.3123664389782,4.151335000187828,1998.4619990000283,1477.2323943661972
1709390433,4,POST,/postData,4.700000,0.000000,36,36,39,42,62,71,73,78,78,78,78,140,0,36,41.38050202143404,30.298932999812678,79.55523100008577,123.15714285714286
1709390433,4,GET,/randStr,10.000000,0.000000,7,8,8,9,10,11,14,14,19,19,19,248,0,7,8.028119564513755,4.151335000187828,126.11271000014312,2665.2741935483873
1709390433,4,GET,/slow,2.900000,0.000000,1100,1400,1500,1700,1900,1900,2000,2000,2000,2000,2000,70,0,1100.0,1209.3768530143604,366.6006329999618,2005.100443000174,0.0
